,Calculation1,School,City,County/State/ Territory,Ethnicity,Count_adm,Count_app,admit_rate
407,DAVID STARR JORDAN HS51575,DAVID STARR JORDAN HS,Los Angeles,Los Angeles,Hispanic/ Latinx,19,27,70.37037037037037
408,DAVID STARR JORDAN HS51575,DAVID STARR JORDAN HS,Los Angeles,Los Angeles,All,21,29,72.41379310344827
409,DEL LAGO ACADEMY54746,DEL LAGO ACADEMY,Escondido,San Diego,White,12,19,63.1578947368421
410,DEL LAGO ACADEMY54746,DEL LAGO ACADEMY,Escondido,San Diego,Asian,7,11,63.63636363636363
411,DEL LAGO ACADEMY54746,DEL LAGO ACADEMY,Escondido,San Diego,Hispanic/ Latinx,35,47,74.46808510638297
412,DEL LAGO ACADEMY54746,DEL LAGO ACADEMY,Escondido,San Diego,All,56,80,70.0
413,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,Int'l,8,8,100.0
414,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,Domestic Unknown,12,14,85.71428571428571
415,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,White,49,98,50.0
416,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,Asian,175,230,76.08695652173914
417,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,Hispanic/ Latinx,11,25,44.0
418,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,African American,6,13,46.15384615384615
419,DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,All,263,394,66.75126903553299
420,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,Domestic Unknown,12,13,92.3076923076923
421,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,White,11,14,78.57142857142857
422,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,Asian,271,328,82.6219512195122
423,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,Hispanic/ Latinx,24,30,80.0
424,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,African American,7,14,50.0
425,DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,All,329,404,81.43564356435643
426,DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,Asian,20,22,90.9090909090909
427,DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,Hispanic/ Latinx,42,75,56.00000000000001
428,DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,African American,9,13,69.23076923076923
429,DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,All,73,113,64.60176991150442
430,DIEGO RIVERA COMM/TECH SCHOOL54544,DIEGO RIVERA COMM/TECH SCHOOL,Los Angeles,Los Angeles,All,11,15,73.33333333333333
431,DISCOVERY CHARTER PREP SCHOOL52489,DISCOVERY CHARTER PREP SCHOOL,Sylmar,Los Angeles,Hispanic/ Latinx,3,5,60.0
432,DISCOVERY CHARTER PREP SCHOOL52489,DISCOVERY CHARTER PREP SCHOOL,Sylmar,Los Angeles,All,4,6,66.66666666666666
433,DOMINGUEZ SENIOR HIGH SCHOOL50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,Hispanic/ Latinx,73,102,71.56862745098039
434,DOMINGUEZ SENIOR HIGH SCHOOL50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,African American,7,8,87.5
435,DOMINGUEZ SENIOR HIGH SCHOOL50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,All,80,110,72.72727272727273
436,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,White,4,7,57.14285714285714
437,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,Asian,9,14,64.28571428571429
438,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,Hispanic/ Latinx,120,199,60.30150753768844
439,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,African American,6,10,60.0
440,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,All,140,232,60.3448275862069
441,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Asian,52,64,81.25
442,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Hispanic/ Latinx,35,55,63.63636363636363
443,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,All,93,126,73.80952380952381
444,DR MAYA ANGELOU COMMUNITY HS54547,DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,All,34,47,72.3404255319149
445,DR RICHARD VLADOVIC HARBOR ACA53747,DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,Asian,22,33,66.66666666666666
446,DR RICHARD VLADOVIC HARBOR ACA53747,DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,Hispanic/ Latinx,39,51,76.47058823529412
447,DR RICHARD VLADOVIC HARBOR ACA53747,DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,African American,13,14,92.85714285714286
448,DR RICHARD VLADOVIC HARBOR ACA53747,DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,All,77,102,75.49019607843137
449,DUARTE HIGH SCHOOL50783,DUARTE HIGH SCHOOL,Duarte,Los Angeles,Asian,3,5,60.0
450,DUARTE HIGH SCHOOL50783,DUARTE HIGH SCHOOL,Duarte,Los Angeles,Hispanic/ Latinx,9,21,42.857142857142854
451,DUARTE HIGH SCHOOL50783,DUARTE HIGH SCHOOL,Duarte,Los Angeles,All,18,34,52.94117647058824
452,E3 CIVIC HIGH54723,E3 CIVIC HIGH,San Diego,San Diego,Hispanic/ Latinx,12,27,44.44444444444444
453,E3 CIVIC HIGH54723,E3 CIVIC HIGH,San Diego,San Diego,African American,4,5,80.0
454,E3 CIVIC HIGH54723,E3 CIVIC HIGH,San Diego,San Diego,All,17,34,50.0
455,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,White,13,21,61.904761904761905
456,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Asian,24,40,60.0
457,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Hispanic/ Latinx,48,72,66.66666666666666
458,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,African American,6,9,66.66666666666666
459,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,All,95,146,65.06849315068493
460,EARLY COLLEGE ACADEMY54701,EARLY COLLEGE ACADEMY,Los Angeles,Los Angeles,Hispanic/ Latinx,13,15,86.66666666666667
461,EARLY COLLEGE ACADEMY54701,EARLY COLLEGE ACADEMY,Los Angeles,Los Angeles,All,14,16,87.5
462,EARLY COLLEGE HIGH SCHOOL50404,EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,White,3,7,42.857142857142854
463,EARLY COLLEGE HIGH SCHOOL50404,EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,Hispanic/ Latinx,7,15,46.666666666666664
464,EARLY COLLEGE HIGH SCHOOL50404,EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,All,14,26,53.84615384615385
465,EAST COLLEGE PREP50338,EAST COLLEGE PREP,Los Angeles,Los Angeles,All,24,36,66.66666666666666
466,EAST LA PERFORMING ARTS MAGNET54452,EAST LA PERFORMING ARTS MAGNET,Los Angeles,Los Angeles,Hispanic/ Latinx,23,29,79.3103448275862
467,EAST LA PERFORMING ARTS MAGNET54452,EAST LA PERFORMING ARTS MAGNET,Los Angeles,Los Angeles,All,24,31,77.41935483870968
468,EAST LA RENAISSANCE ACADEMY54450,EAST LA RENAISSANCE ACADEMY,Los Angeles,Los Angeles,All,14,25,56.00000000000001
469,EAST VALLEY HIGH SCHOOL54082,EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,Hispanic/ Latinx,6,15,40.0
470,EAST VALLEY HIGH SCHOOL54082,EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,All,8,18,44.44444444444444
471,EAST VILLAGE MIDDLE COLLEGE HS54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,Hispanic/ Latinx,6,8,75.0
472,EAST VILLAGE MIDDLE COLLEGE HS54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,African American,5,5,100.0
473,EAST VILLAGE MIDDLE COLLEGE HS54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,All,13,17,76.47058823529412
474,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,White,18,25,72.0
475,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Asian,43,83,51.80722891566265
476,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Hispanic/ Latinx,50,100,50.0
477,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,African American,7,17,41.17647058823529
478,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,All,122,230,53.04347826086957
479,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,Hispanic/ Latinx,40,56,71.42857142857143
480,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,African American,19,34,55.88235294117647
481,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,All,64,96,66.66666666666666
482,EDGEWOOD HIGH SCHOOL54481,EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,Asian,17,25,68.0
483,EDGEWOOD HIGH SCHOOL54481,EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,Hispanic/ Latinx,16,28,57.14285714285714
484,EDGEWOOD HIGH SCHOOL54481,EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,All,35,56,62.5
485,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,Domestic Unknown,5,10,50.0
486,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,White,31,62,50.0
487,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,Asian,33,55,60.0
488,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,Hispanic/ Latinx,5,16,31.25
489,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,All,77,149,51.67785234899329
490,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,Asian,5,5,100.0
491,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,Hispanic/ Latinx,21,29,72.41379310344827
492,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,All,27,38,71.05263157894737
493,EL CAJON VALLEY HIGH SCHOOL50805,EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,White,21,26,80.76923076923077
494,EL CAJON VALLEY HIGH SCHOOL50805,EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,Hispanic/ Latinx,11,19,57.89473684210527
495,EL CAJON VALLEY HIGH SCHOOL50805,EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,All,35,52,67.3076923076923
496,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,White,12,17,70.58823529411765
497,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,Asian,16,24,66.66666666666666
498,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,Hispanic/ Latinx,39,57,68.42105263157895
499,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,African American,4,15,26.666666666666668
500,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,All,77,121,63.63636363636363
501,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,White,53,83,63.85542168674698
502,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Asian,46,67,68.65671641791045
503,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Hispanic/ Latinx,39,75,52.0
504,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,African American,11,18,61.111111111111114
505,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,All,155,256,60.546875
506,EL CAPITAN HIGH SCHOOL51346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,White,15,22,68.18181818181817
507,EL CAPITAN HIGH SCHOOL51346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,Hispanic/ Latinx,3,7,42.857142857142854
508,EL CAPITAN HIGH SCHOOL51346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,All,23,37,62.16216216216216
509,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Domestic Unknown,4,5,80.0
510,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,White,24,37,64.86486486486487
511,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Asian,39,48,81.25
512,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Hispanic/ Latinx,13,25,52.0
513,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,All,85,121,70.24793388429752
514,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,White,14,20,70.0
515,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,Asian,16,25,64.0
516,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,Hispanic/ Latinx,17,45,37.77777777777778
517,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,All,50,96,52.083333333333336
518,EL MONTE HIGH SCHOOL50835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,Asian,27,37,72.97297297297297
519,EL MONTE HIGH SCHOOL50835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,Hispanic/ Latinx,72,94,76.59574468085107
520,EL MONTE HIGH SCHOOL50835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,All,101,134,75.3731343283582
521,EL RANCHO HIGH SCHOOL52655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,Hispanic/ Latinx,66,120,55.00000000000001
522,EL RANCHO HIGH SCHOOL52655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,All,67,122,54.91803278688525
523,EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,White,37,71,52.112676056338024
524,EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,Asian,23,35,65.71428571428571
525,EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,Hispanic/ Latinx,23,42,54.761904761904766
526,EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,African American,11,17,64.70588235294117
527,EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,All,99,171,57.89473684210527
528,EL TORO HIGH SCHOOL51974,EL TORO HIGH SCHOOL,Lake Forest,Orange,White,22,51,43.13725490196079
529,EL TORO HIGH SCHOOL51974,EL TORO HIGH SCHOOL,Lake Forest,Orange,Asian,39,54,72.22222222222221
530,EL TORO HIGH SCHOOL51974,EL TORO HIGH SCHOOL,Lake Forest,Orange,Hispanic/ Latinx,21,35,60.0
531,EL TORO HIGH SCHOOL51974,EL TORO HIGH SCHOOL,Lake Forest,Orange,All,83,144,57.638888888888886
532,ELIZABETH LEARNING CENTER50697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,Hispanic/ Latinx,29,40,72.5
533,ELIZABETH LEARNING CENTER50697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,All,30,41,73.17073170731707
534,ELLEN OCHOA PREP ACADEMY50048,ELLEN OCHOA PREP ACADEMY,Pico Rivera,Los Angeles,Hispanic/ Latinx,11,17,64.70588235294117
535,ELLEN OCHOA PREP ACADEMY50048,ELLEN OCHOA PREP ACADEMY,Pico Rivera,Los Angeles,All,13,20,65.0
536,ENGINEERING & TECH ACAD AT THS54441,ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,All,14,15,93.33333333333333
537,ENVIRONMENTAL CHARTER HS51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,Hispanic/ Latinx,56,64,87.5
538,ENVIRONMENTAL CHARTER HS51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,African American,7,8,87.5
539,ENVIRONMENTAL CHARTER HS51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,All,71,80,88.75
540,ERNEST S MCBRIDE SR HIGH SCHL54725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,White,7,12,58.333333333333336
541,ERNEST S MCBRIDE SR HIGH SCHL54725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,Asian,10,16,62.5
542,ERNEST S MCBRIDE SR HIGH SCHL54725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,Hispanic/ Latinx,19,32,59.375
543,ERNEST S MCBRIDE SR HIGH SCHL54725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,African American,3,8,37.5
544,ERNEST S MCBRIDE SR HIGH SCHL54725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,All,39,68,57.35294117647059
545,ESCONDIDO CHARTER HIGH SCHOOL50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,White,4,11,36.36363636363637
546,ESCONDIDO CHARTER HIGH SCHOOL50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,Asian,6,6,100.0
547,ESCONDIDO CHARTER HIGH SCHOOL50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,Hispanic/ Latinx,19,27,70.37037037037037
548,ESCONDIDO CHARTER HIGH SCHOOL50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,All,30,48,62.5
549,ESCONDIDO HIGH SCHOOL50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,White,9,11,81.81818181818183
550,ESCONDIDO HIGH SCHOOL50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,Asian,11,14,78.57142857142857
551,ESCONDIDO HIGH SCHOOL50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,Hispanic/ Latinx,79,108,73.14814814814815
552,ESCONDIDO HIGH SCHOOL50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,All,102,136,75.0
553,ESPERANZA COLLEGE PREP51633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,Hispanic/ Latinx,62,81,76.5432098765432
554,ESPERANZA COLLEGE PREP51633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,All,65,85,76.47058823529412
555,ESPERANZA HIGH SCHOOL50093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,White,10,19,52.63157894736842
556,ESPERANZA HIGH SCHOOL50093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,Asian,17,24,70.83333333333334
557,ESPERANZA HIGH SCHOOL50093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,Hispanic/ Latinx,10,24,41.66666666666667
558,ESPERANZA HIGH SCHOOL50093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,All,40,71,56.33802816901409
559,ESTANCIA HIGH SCHOOL50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,White,7,10,70.0
560,ESTANCIA HIGH SCHOOL50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,Asian,4,7,57.14285714285714
561,ESTANCIA HIGH SCHOOL50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,Hispanic/ Latinx,18,26,69.23076923076923
562,ESTANCIA HIGH SCHOOL50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,All,30,44,68.18181818181817
563,F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,Asian,38,50,76.0
564,F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,Hispanic/ Latinx,106,163,65.03067484662577
565,F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,African American,4,6,66.66666666666666
566,F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,All,150,222,67.56756756756756
567,FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,White,7,7,100.0
568,FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,Asian,42,45,93.33333333333333
569,FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,Hispanic/ Latinx,42,73,57.534246575342465
570,FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,African American,3,9,33.33333333333333
571,FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,All,94,135,69.62962962962963
572,FALLBROOK UNION HIGH SCHOOL50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,White,11,19,57.89473684210527
573,FALLBROOK UNION HIGH SCHOOL50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,Asian,7,10,70.0
574,FALLBROOK UNION HIGH SCHOOL50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,Hispanic/ Latinx,25,47,53.191489361702125
575,FALLBROOK UNION HIGH SCHOOL50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,All,44,80,55.00000000000001
576,FELICITAS GONZALO MENDEZ HS54381,FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,All,66,72,91.66666666666666
577,FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,White,29,74,39.189189189189186
578,FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,Asian,31,48,64.58333333333334
579,FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,Hispanic/ Latinx,27,79,34.177215189873415
580,FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,African American,3,5,60.0
581,FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,All,103,222,46.3963963963964
582,FOSHAY LEARNING CENTER51788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,Hispanic/ Latinx,57,90,63.33333333333333
583,FOSHAY LEARNING CENTER51788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,African American,7,10,70.0
584,FOSHAY LEARNING CENTER51788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,All,65,102,63.725490196078425
585,FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,White,15,33,45.45454545454545
586,FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,Asian,177,270,65.55555555555556
587,FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,Hispanic/ Latinx,6,22,27.27272727272727
588,FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,African American,4,5,80.0
589,FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,All,210,341,61.58357771260997
590,FREMONT ACD ENGINEERING/DESIGN54523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,Hispanic/ Latinx,13,18,72.22222222222221
591,FREMONT ACD ENGINEERING/DESIGN54523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,All,14,20,70.0
592,FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,White,16,27,59.25925925925925
593,FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,Asian,21,27,77.77777777777779
594,FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,Hispanic/ Latinx,23,41,56.09756097560976
595,FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,African American,5,5,100.0
596,FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,All,66,101,65.34653465346535
597,GABRIELINO HIGH SCHOOL53062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,Asian,121,185,65.4054054054054
598,GABRIELINO HIGH SCHOOL53062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,Hispanic/ Latinx,21,32,65.625
599,GABRIELINO HIGH SCHOOL53062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,All,148,226,65.48672566371681
600,GAHR HIGH SCHOOL50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,Asian,29,58,50.0
601,GAHR HIGH SCHOOL50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,Hispanic/ Latinx,27,42,64.28571428571429
602,GAHR HIGH SCHOOL50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,African American,11,18,61.111111111111114
603,GAHR HIGH SCHOOL50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,All,69,123,56.09756097560976
