,Calculation1,School,City,County/State/ Territory,Ethnicity,Count_adm,Count_app,admit_rate
344,COMPTON SENIOR HIGH SCHOOL50651,COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,All,41,58,70.6896551724138
345,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Domestic Unknown,10,23,43.47826086956522
346,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,White,52,98,53.06122448979592
347,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Asian,24,40,60.0
348,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Hispanic/ Latinx,9,19,47.368421052631575
349,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,All,99,187,52.94117647058824
350,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Domestic Unknown,4,6,66.66666666666666
351,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,White,24,49,48.97959183673469
352,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Asian,10,17,58.82352941176471
353,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Hispanic/ Latinx,21,37,56.75675675675676
354,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,All,67,122,54.91803278688525
355,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,White,13,15,86.66666666666667
356,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,Asian,11,17,64.70588235294117
357,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,Hispanic/ Latinx,15,24,62.5
358,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,All,40,57,70.17543859649122
359,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,Asian,14,19,73.68421052631578
360,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,Hispanic/ Latinx,24,46,52.17391304347826
361,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,All,41,73,56.16438356164384
362,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,Asian,11,13,84.61538461538461
363,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,Hispanic/ Latinx,13,22,59.09090909090909
364,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,African American,8,15,53.333333333333336
365,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,All,33,51,64.70588235294117
366,CRENSHAW HIGH SCHOOL51569,CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,All,19,28,67.85714285714286
367,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,White,52,110,47.27272727272727
368,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Asian,114,150,76.0
369,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Hispanic/ Latinx,18,37,48.64864864864865
370,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,All,191,309,61.81229773462783
371,CRITICAL DESIGN AND GAMING SCH54632,CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,Hispanic/ Latinx,34,51,66.66666666666666
372,CRITICAL DESIGN AND GAMING SCH54632,CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,African American,3,5,60.0
373,CRITICAL DESIGN AND GAMING SCH54632,CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,All,37,56,66.07142857142857
374,CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,White,43,58,74.13793103448276
375,CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,Asian,35,54,64.81481481481481
376,CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,Hispanic/ Latinx,45,75,60.0
377,CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,African American,24,49,48.97959183673469
378,CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,All,151,241,62.655601659751035
379,CYPRESS HIGH SCHOOL50714,CYPRESS HIGH SCHOOL,Cypress,Orange,White,15,32,46.875
380,CYPRESS HIGH SCHOOL50714,CYPRESS HIGH SCHOOL,Cypress,Orange,Asian,100,150,66.66666666666666
